Year,StateID,Age,Education,Sex,Income,Race/Ethnicity,Obese,Overweight
2011,AR,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,27.8,39.6
2011,AR,Unknown,Unknown,Unknown,Data not reported,Unknown,24.9,36.0
2011,AR,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,33.8,31.0
2011,AR,Unknown,Unknown,Unknown,Unknown,2 or more races,26.4,36.1
2011,AR,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,19.3,22.4
2011,AR,Unknown,Unknown,Unknown,Unknown,Hispanic,18.4,46.5
2011,AR,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,38.1,35.3
2011,AR,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,31.0,32.7
2011,AR,Unknown,Unknown,Unknown,Unknown,Unknown,30.9,33.9
2011,AZ,18 - 24,Unknown,Unknown,Unknown,Unknown,18.7,27.7
2011,AZ,25 - 34,Unknown,Unknown,Unknown,Unknown,23.6,36.7
2011,AZ,35 - 44,Unknown,Unknown,Unknown,Unknown,25.4,38.6
2011,AZ,45 - 54,Unknown,Unknown,Unknown,Unknown,29.6,41.9
2011,AZ,55 - 64,Unknown,Unknown,Unknown,Unknown,29.9,39.3
2011,AZ,65 or older,Unknown,Unknown,Unknown,Unknown,22.6,40.2
2011,AZ,Unknown,College graduate,Unknown,Unknown,Unknown,17.4,38.0
2011,AZ,Unknown,High school graduate,Unknown,Unknown,Unknown,25.2,37.3
2011,AZ,Unknown,Less than high school,Unknown,Unknown,Unknown,36.2,34.5
2011,AZ,Unknown,Some college or technical school,Unknown,Unknown,Unknown,25.9,39.5
2011,AZ,Unknown,Unknown,Female,Unknown,Unknown,25.8,29.1
2011,AZ,Unknown,Unknown,Male,Unknown,Unknown,24.4,46.1
2011,AZ,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,32.3,34.9
2011,AZ,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,26.5,37.2
2011,AZ,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,20.7,43.6
2011,AZ,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,25.1,39.0
2011,AZ,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,19.7,38.4
2011,AZ,Unknown,Unknown,Unknown,Data not reported,Unknown,19.6,41.5
2011,AZ,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,34.1,29.5
2011,AZ,Unknown,Unknown,Unknown,Unknown,2 or more races,20.8,29.3
2011,AZ,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,34.2,40.2
2011,AZ,Unknown,Unknown,Unknown,Unknown,Asian,13.0,26.7
2011,AZ,Unknown,Unknown,Unknown,Unknown,Hispanic,33.8,40.2
2011,AZ,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,26.8,45.1
2011,AZ,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,21.2,37.0
2011,AZ,Unknown,Unknown,Unknown,Unknown,Unknown,25.1,37.8
2011,CA,18 - 24,Unknown,Unknown,Unknown,Unknown,14.5,26.8
2011,CA,25 - 34,Unknown,Unknown,Unknown,Unknown,23.7,36.1
2011,CA,35 - 44,Unknown,Unknown,Unknown,Unknown,25.9,38.1
2011,CA,45 - 54,Unknown,Unknown,Unknown,Unknown,27.6,39.0
2011,CA,55 - 64,Unknown,Unknown,Unknown,Unknown,27.6,38.1
2011,CA,65 or older,Unknown,Unknown,Unknown,Unknown,21.2,38.2
2011,CA,Unknown,College graduate,Unknown,Unknown,Unknown,15.3,35.6
2011,CA,Unknown,High school graduate,Unknown,Unknown,Unknown,26.4,37.0
2011,CA,Unknown,Less than high school,Unknown,Unknown,Unknown,32.9,40.3
2011,CA,Unknown,Some college or technical school,Unknown,Unknown,Unknown,24.0,34.5
2011,CA,Unknown,Unknown,Female,Unknown,Unknown,24.5,28.5
2011,CA,Unknown,Unknown,Male,Unknown,Unknown,23.1,44.1
2011,CA,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,30.1,35.7
2011,CA,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,27.2,34.8
2011,CA,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,22.1,38.4
2011,CA,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,24.3,36.5
2011,CA,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,17.7,38.2
2011,CA,Unknown,Unknown,Unknown,Data not reported,Unknown,17.5,31.5
2011,CA,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,29.9,35.2
2011,CA,Unknown,Unknown,Unknown,Unknown,2 or more races,26.9,30.0
2011,CA,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,37.3,31.9
2011,CA,Unknown,Unknown,Unknown,Unknown,Asian,8.1,29.7
2011,CA,Unknown,Unknown,Unknown,Unknown,Hawaiian/Pacific Islander,23.2,26.2
2011,CA,Unknown,Unknown,Unknown,Unknown,Hispanic,30.3,39.8
2011,CA,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,33.1,38.9
2011,CA,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,22.0,36.2
2011,CA,Unknown,Unknown,Unknown,Unknown,Unknown,23.8,36.4
2011,CO,18 - 24,Unknown,Unknown,Unknown,Unknown,10.2,23.4
2011,CO,25 - 34,Unknown,Unknown,Unknown,Unknown,19.3,31.1
2011,CO,35 - 44,Unknown,Unknown,Unknown,Unknown,22.7,38.6
2011,CO,45 - 54,Unknown,Unknown,Unknown,Unknown,24.2,38.6
2011,CO,55 - 64,Unknown,Unknown,Unknown,Unknown,24.2,38.3
2011,CO,65 or older,Unknown,Unknown,Unknown,Unknown,20.2,38.9
2011,CO,Unknown,College graduate,Unknown,Unknown,Unknown,15.6,35.0
2011,CO,Unknown,High school graduate,Unknown,Unknown,Unknown,23.5,37.1
2011,CO,Unknown,Less than high school,Unknown,Unknown,Unknown,25.7,37.6
2011,CO,Unknown,Some college or technical school,Unknown,Unknown,Unknown,22.3,33.9
2011,CO,Unknown,Unknown,Female,Unknown,Unknown,20.3,26.7
2011,CO,Unknown,Unknown,Male,Unknown,Unknown,21.1,43.5
2011,CO,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,24.2,35.8
2011,CO,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,23.7,37.0
2011,CO,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,21.3,34.3
2011,CO,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,19.5,37.9
2011,CO,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,18.3,36.8
2011,CO,Unknown,Unknown,Unknown,Data not reported,Unknown,17.5,31.7
2011,CO,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,25.9,31.4
2011,CO,Unknown,Unknown,Unknown,Unknown,2 or more races,23.0,33.6
2011,CO,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,30.7,39.5
2011,CO,Unknown,Unknown,Unknown,Unknown,Asian,7.7,23.2
2011,CO,Unknown,Unknown,Unknown,Unknown,Hispanic,26.5,41.1
2011,CO,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,34.2,31.5
2011,CO,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,18.9,34.7
2011,CO,Unknown,Unknown,Unknown,Unknown,Other,23.5,31.4
2011,CO,Unknown,Unknown,Unknown,Unknown,Unknown,20.7,35.4
2011,CT,18 - 24,Unknown,Unknown,Unknown,Unknown,16.1,21.3
2011,CT,25 - 34,Unknown,Unknown,Unknown,Unknown,23.2,31.9
2011,CT,35 - 44,Unknown,Unknown,Unknown,Unknown,25.4,35.9
2011,CT,45 - 54,Unknown,Unknown,Unknown,Unknown,27.0,38.0
2011,CT,55 - 64,Unknown,Unknown,Unknown,Unknown,28.6,37.6
2011,CT,65 or older,Unknown,Unknown,Unknown,Unknown,23.7,40.1
2011,CT,Unknown,College graduate,Unknown,Unknown,Unknown,16.7,36.1
2011,CT,Unknown,High school graduate,Unknown,Unknown,Unknown,29.0,35.3
2011,CT,Unknown,Less than high school,Unknown,Unknown,Unknown,31.2,37.4
2011,CT,Unknown,Some college or technical school,Unknown,Unknown,Unknown,26.4,32.6
2011,CT,Unknown,Unknown,Female,Unknown,Unknown,23.6,28.3
2011,CT,Unknown,Unknown,Male,Unknown,Unknown,25.4,42.0
2011,CT,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,28.7,32.1
2011,CT,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,24.7,37.7
2011,CT,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,27.5,34.7
2011,CT,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,23.2,39.1
2011,CT,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,20.7,35.9
2011,CT,Unknown,Unknown,Unknown,Data not reported,Unknown,24.8,30.3
2011,CT,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,31.7,36.6
2011,CT,Unknown,Unknown,Unknown,Unknown,2 or more races,30.1,32.2
2011,CT,Unknown,Unknown,Unknown,Unknown,Asian,6.3,30.8
2011,CT,Unknown,Unknown,Unknown,Unknown,Hispanic,32.6,32.2
2011,CT,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,32.8,39.2
2011,CT,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,23.0,35.4
2011,CT,Unknown,Unknown,Unknown,Unknown,Other,36.0,35.2
2011,CT,Unknown,Unknown,Unknown,Unknown,Unknown,24.5,35.2
2011,DC,18 - 24,Unknown,Unknown,Unknown,Unknown,8.5,22.3
2011,DC,25 - 34,Unknown,Unknown,Unknown,Unknown,20.8,24.7
2011,DC,35 - 44,Unknown,Unknown,Unknown,Unknown,22.0,33.3
2011,DC,45 - 54,Unknown,Unknown,Unknown,Unknown,34.8,28.0
2011,DC,55 - 64,Unknown,Unknown,Unknown,Unknown,30.6,33.4
2011,DC,65 or older,Unknown,Unknown,Unknown,Unknown,26.3,34.6
2011,DC,Unknown,College graduate,Unknown,Unknown,Unknown,11.9,30.4
2011,DC,Unknown,High school graduate,Unknown,Unknown,Unknown,33.0,29.5
2011,DC,Unknown,Less than high school,Unknown,Unknown,Unknown,39.7,25.1
2011,DC,Unknown,Some college or technical school,Unknown,Unknown,Unknown,31.0,28.4
2011,DC,Unknown,Unknown,Female,Unknown,Unknown,28.4,23.9
2011,DC,Unknown,Unknown,Male,Unknown,Unknown,18.6,34.9
2011,DC,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,35.3,29.1
2011,DC,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,30.0,28.9
2011,DC,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,27.6,25.6
2011,DC,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,20.3,31.4
2011,DC,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,12.7,32.9
2011,DC,Unknown,Unknown,Unknown,Data not reported,Unknown,22.1,23.4
2011,DC,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,41.6,25.1
2011,DC,Unknown,Unknown,Unknown,Unknown,2 or more races,32.2,19.6
2011,DC,Unknown,Unknown,Unknown,Unknown,Asian,0.9,24.8
2011,DC,Unknown,Unknown,Unknown,Unknown,Hispanic,13.3,31.6
2011,DC,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,36.7,28.9
2011,DC,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,10.7,28.9
2011,DC,Unknown,Unknown,Unknown,Unknown,Other,22.9,20.6
2011,DC,Unknown,Unknown,Unknown,Unknown,Unknown,23.7,29.1
2011,DE,18 - 24,Unknown,Unknown,Unknown,Unknown,14.2,22.5
2011,DE,25 - 34,Unknown,Unknown,Unknown,Unknown,25.3,37.2
2011,DE,35 - 44,Unknown,Unknown,Unknown,Unknown,33.2,34.2
2011,DE,45 - 54,Unknown,Unknown,Unknown,Unknown,31.4,36.6
2011,DE,55 - 64,Unknown,Unknown,Unknown,Unknown,36.1,36.0
2011,DE,65 or older,Unknown,Unknown,Unknown,Unknown,28.9,40.1
2011,DE,Unknown,College graduate,Unknown,Unknown,Unknown,24.1,37.0
2011,DE,Unknown,High school graduate,Unknown,Unknown,Unknown,27.9,37.1
2011,DE,Unknown,Less than high school,Unknown,Unknown,Unknown,35.2,34.4
2011,DE,Unknown,Some college or technical school,Unknown,Unknown,Unknown,30.9,31.2
2011,DE,Unknown,Unknown,Female,Unknown,Unknown,28.6,28.7
2011,DE,Unknown,Unknown,Male,Unknown,Unknown,29.0,41.6
2011,DE,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,35.6,32.2
2011,DE,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,31.0,29.5
2011,DE,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,32.3,32.9
2011,DE,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,26.4,36.8
2011,DE,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,27.0,39.4
2011,DE,Unknown,Unknown,Unknown,Data not reported,Unknown,22.0,32.8
2011,DE,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,33.5,33.8
2011,DE,Unknown,Unknown,Unknown,Unknown,2 or more races,36.5,30.1
2011,DE,Unknown,Unknown,Unknown,Unknown,Asian,2.1,32.5
2011,DE,Unknown,Unknown,Unknown,Unknown,Hispanic,22.4,34.2
2011,DE,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,38.2,33.4
2011,DE,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,27.2,35.9
2011,DE,Unknown,Unknown,Unknown,Unknown,Unknown,28.8,35.0
2011,FL,18 - 24,Unknown,Unknown,Unknown,Unknown,10.7,34.6
2011,FL,25 - 34,Unknown,Unknown,Unknown,Unknown,25.9,32.5
2011,FL,35 - 44,Unknown,Unknown,Unknown,Unknown,29.9,37.0
2011,FL,45 - 54,Unknown,Unknown,Unknown,Unknown,34.3,33.2
2011,FL,55 - 64,Unknown,Unknown,Unknown,Unknown,31.2,39.7
2011,FL,65 or older,Unknown,Unknown,Unknown,Unknown,23.4,40.9
2011,FL,Unknown,College graduate,Unknown,Unknown,Unknown,21.1,38.2
2011,FL,Unknown,High school graduate,Unknown,Unknown,Unknown,27.5,37.4
2011,FL,Unknown,Less than high school,Unknown,Unknown,Unknown,32.7,35.8
2011,FL,Unknown,Some college or technical school,Unknown,Unknown,Unknown,27.4,35.2
2011,FL,Unknown,Unknown,Female,Unknown,Unknown,25.6,30.4
2011,FL,Unknown,Unknown,Male,Unknown,Unknown,27.7,42.9
2011,FL,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,30.2,36.5
2011,FL,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,29.7,36.5
2011,FL,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,27.2,39.9
2011,FL,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,26.5,38.1
2011,FL,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,22.4,38.3
2011,FL,Unknown,Unknown,Unknown,Data not reported,Unknown,20.3,36.4
2011,FL,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,31.8,30.2
2011,FL,Unknown,Unknown,Unknown,Unknown,2 or more races,26.7,32.4
2011,FL,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,22.3,41.1
2011,FL,Unknown,Unknown,Unknown,Unknown,Asian,6.2,36.5
2011,FL,Unknown,Unknown,Unknown,Unknown,Hispanic,27.8,38.9
2011,FL,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,35.7,33.7
2011,FL,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,24.9,36.6
2011,FL,Unknown,Unknown,Unknown,Unknown,Unknown,26.6,36.7
2011,GA,18 - 24,Unknown,Unknown,Unknown,Unknown,15.0,21.2
2011,GA,25 - 34,Unknown,Unknown,Unknown,Unknown,26.5,33.5
2011,GA,35 - 44,Unknown,Unknown,Unknown,Unknown,29.6,38.2
2011,GA,45 - 54,Unknown,Unknown,Unknown,Unknown,33.7,37.0
2011,GA,55 - 64,Unknown,Unknown,Unknown,Unknown,34.4,37.1
2011,GA,65 or older,Unknown,Unknown,Unknown,Unknown,25.4,37.9
2011,GA,Unknown,College graduate,Unknown,Unknown,Unknown,21.4,38.1
2011,GA,Unknown,High school graduate,Unknown,Unknown,Unknown,29.5,32.6
2011,GA,Unknown,Less than high school,Unknown,Unknown,Unknown,34.1,30.5
2011,GA,Unknown,Some college or technical school,Unknown,Unknown,Unknown,28.6,36.4
2011,GA,Unknown,Unknown,Female,Unknown,Unknown,29.3,28.4
2011,GA,Unknown,Unknown,Male,Unknown,Unknown,26.7,40.9
2011,GA,Unknown,Unknown,Unknown,"$15,000 - $24,999",Unknown,33.2,30.7
2011,GA,Unknown,Unknown,Unknown,"$25,000 - $34,999",Unknown,29.0,34.6
2011,GA,Unknown,Unknown,Unknown,"$35,000 - $49,999",Unknown,26.8,35.9
2011,GA,Unknown,Unknown,Unknown,"$50,000 - $74,999",Unknown,31.2,39.0
2011,GA,Unknown,Unknown,Unknown,"$75,000 or greater",Unknown,21.3,40.9
2011,GA,Unknown,Unknown,Unknown,Data not reported,Unknown,23.3,30.0
2011,GA,Unknown,Unknown,Unknown,"Less than $15,000",Unknown,33.9,29.5
2011,GA,Unknown,Unknown,Unknown,Unknown,2 or more races,27.1,33.9
2011,GA,Unknown,Unknown,Unknown,Unknown,American Indian/Alaska Native,31.6,24.3
2011,GA,Unknown,Unknown,Unknown,Unknown,Asian,5.4,23.1
2011,GA,Unknown,Unknown,Unknown,Unknown,Hispanic,26.4,38.9
2011,GA,Unknown,Unknown,Unknown,Unknown,Non-Hispanic Black,36.8,34.7
2011,GA,Unknown,Unknown,Unknown,Unknown,Non-Hispanic White,25.0,34.5
2011,GA,Unknown,Unknown,Unknown,Unknown,Other,8.6,34.4
2011,GA,Unknown,Unknown,Unknown,Unknown,Unknown,28.0,34.7
2011,HI,18 - 24,Unknown,Unknown,Unknown,Unknown,9.3,26.0
2011,HI,25 - 34,Unknown,Unknown,Unknown,Unknown,23.7,34.8
2011,HI,35 - 44,Unknown,Unknown,Unknown,Unknown,30.5,32.0
